基金代码,拼音缩写,基金简称,基金类型,拼音全称
021182,ZOJZJXHHC,中欧价值精选混合C,混合型-偏股,ZHONGOUJIAZHIJINGXUANHUNHEC
021187,MGHLYXGPA,摩根红利优选股票A,股票型,MOGENHONGLIYOUXUANGUPIAOA
021188,MGHLYXGPC,摩根红利优选股票C,股票型,MOGENHONGLIYOUXUANGUPIAOC
021194,GLKJCZHHA,格林科技成长混合A,混合型-偏股,GELINKEJICHENGZHANGHUNHEA
021195,GLKJCZHHC,格林科技成长混合C,混合型-偏股,GELINKEJICHENGZHANGHUNHEC
021198,HTFYXJZHHFQSA,汇添富优选价值混合发起式A,混合型-偏股,HUITIANFUYOUXUANJIAZHIHUNHEFAQISHIA
021199,HTFYXJZHHFQSC,汇添富优选价值混合发起式C,混合型-偏股,HUITIANFUYOUXUANJIAZHIHUNHEFAQISHIC
021202,HTFJHHBHHFQSA,汇添富均衡回报混合发起式A,混合型-偏股,HUITIANFUJUNHENGHUIBAOHUNHEFAQISHIA
021203,HTFJHHBHHFQSC,汇添富均衡回报混合发起式C,混合型-偏股,HUITIANFUJUNHENGHUIBAOHUNHEFAQISHIC
021204,HXYYLHXGHHA,华夏医药量化选股混合A,混合型-偏股,HUAXIAYIYAOLIANGHUAXUANGUHUNHEA
021205,HXYYLHXGHHC,华夏医药量化选股混合C,混合型-偏股,HUAXIAYIYAOLIANGHUAXUANGUHUNHEC
021218,ZYHXYSLHPZHHC,中邮核心优势灵活配置混合C,混合型-灵活,ZHONGYOUHEXINYOUSHILINGHUOPEIZHIHUNHEC
021219,PAJZJXHHA,平安价值精选混合A,混合型-偏股,PINGANJIAZHIJINGXUANHUNHEA
021227,PAJZJXHHC,平安价值精选混合C,混合型-偏股,PINGANJIAZHIJINGXUANHUNHEC
021247,XQHLHHA,兴全红利混合A,混合型-偏股,XINGQUANHONGLIHUNHEA
021248,XQHLHHC,兴全红利混合C,混合型-偏股,XINGQUANHONGLIHUNHEC
021265,XYJLLHPZHHC,兴业聚利灵活配置混合C,混合型-灵活,XINGYEJULILINGHUOPEIZHIHUNHEC
021271,HTZJYJHB12GYCYHHA,华泰紫金远见回报12个月持有混合A,混合型-偏股,HUATAIZIJINYUANJIANHUIBAO12GEYUECHIYOUHUNHEA
021272,HTZJYJHB12GYCYHHC,华泰紫金远见回报12个月持有混合C,混合型-偏股,HUATAIZIJINYUANJIANHUIBAO12GEYUECHIYOUHUNHEC
021273,MGJHJXHHA,摩根均衡精选混合A,混合型-偏股,MOGENJUNHENGJINGXUANHUNHEA
021274,MGJHJXHHC,摩根均衡精选混合C,混合型-偏股,MOGENJUNHENGJINGXUANHUNHEC
021286,GFAYHHE,广发安盈混合E,混合型-灵活,GUANGFAANYINGHUNHEE
021305,ZOPZJXHHA,中欧品质精选混合A,混合型-偏股,ZHONGOUPINZHIJINGXUANHUNHEA
021306,ZOPZJXHHC,中欧品质精选混合C,混合型-偏股,ZHONGOUPINZHIJINGXUANHUNHEC
021308,PHCXYYHHA,鹏华创新医药混合A,混合型-偏股,PENGHUACHUANGXINYIYAOHUNHEA
021309,PHCXYYHHC,鹏华创新医药混合C,混合型-偏股,PENGHUACHUANGXINYIYAOHUNHEC
021313,JSCCHGSJXGPC,景顺长城沪港深精选股票C,股票型,JINGSHUNCHANGCHENGHUGANGSHENJINGXUANGUPIAOC
021316,MSJYZXCZGPA,民生加银智选成长股票A,股票型,MINSHENGJIAYINZHIXUANCHENGZHANGGUPIAOA
021317,MSJYZXCZGPC,民生加银智选成长股票C,股票型,MINSHENGJIAYINZHIXUANCHENGZHANGGUPIAOC
021333,XAGQZXHHA,信澳国企智选混合A,混合型-偏股,XINAOGUOQIZHIXUANHUNHEA
021334,XAGQZXHHC,信澳国企智选混合C,混合型-偏股,XINAOGUOQIZHIXUANHUNHEC
021356,XAXMBLHPZHHC,信澳新目标灵活配置混合C,混合型-灵活,XINAOXINMUBIAOLINGHUOPEIZHIHUNHEC
021364,BHHJXDNZTHHC,渤海汇金新动能主题混合C,混合型-偏股,BOHAIHUIJINXINDONGNENGZHUTIHUNHEC
021369,HXZSYXHHFQSA,华夏智胜优选混合发起式A,混合型-偏股,HUAXIAZHISHENGYOUXUANHUNHEFAQISHIA
021370,HXZSYXHHFQSC,华夏智胜优选混合发起式C,混合型-偏股,HUAXIAZHISHENGYOUXUANHUNHEFAQISHIC
021372,THJZQDHHA,天弘价值驱动混合A,混合型-偏股,TIANHONGJIAZHIQUDONGHUNHEA
021373,THJZQDHHC,天弘价值驱动混合C,混合型-偏股,TIANHONGJIAZHIQUDONGHUNHEC
021382,BSKJQDHHA,博时科技驱动混合A,混合型-偏股,BOSHIKEJIQUDONGHUNHEA
021383,BSKJQDHHC,博时科技驱动混合C,混合型-偏股,BOSHIKEJIQUDONGHUNHEC
021390,DXCZYXHHFQA,东兴成长优选混合发起A,混合型-偏股,DONGXINGCHENGZHANGYOUXUANHUNHEFAQIA
